"category_english","order_count","bad_reviews","bad_review_pct","avg_review_score"
portable_kitchen_and_food_preparers,13,6,46.2,3.62
office_furniture,1244,455,36.6,3.64
fashion_female_clothing,36,12,33.3,3.92
home_comfort,390,124,31.8,3.88
audio,345,108,31.3,3.84
home_comfort_2,23,7,30.4,3.83
fashion_male_clothing,105,31,29.5,3.82
diapers_and_hygiene,25,7,28.0,3.96
furniture_mattress_and_upholstery,37,10,27.0,3.89
party_supplies,38,10,26.3,4.08
bed_bath_table,9175,2398,26.1,3.99
landline_telephony,209,53,25.4,3.97
home_construction,481,121,25.2,3.99
construction_tools_safety,158,39,24.7,3.97
furniture_decor,6259,1523,24.3,4.05
telephony,4068,983,24.2,4.05
furniture_living_room,409,99,24.2,4.07
signaling_and_security,137,32,23.4,4.12
fashion_underwear_beach,116,27,23.3,4.01
art,193,45,23.3,4.10
market_place,272,63,23.2,4.09
baby,2786,641,23.0,4.10
computers_accessories,6495,1484,22.8,4.08
watches_gifts,5451,1220,22.4,4.12
construction_tools_lights,239,53,22.2,4.15
kitchen_dining_laundry_garden_furniture,239,53,22.2,4.13
construction_tools_construction,731,161,22.0,4.12
air_conditioning,242,53,21.9,4.12
arts_and_craftsmanship,23,5,21.7,4.17
consoles_games,1009,219,21.7,4.18
electronics,2498,528,21.1,4.12
music,38,8,21.1,4.21
auto,3790,786,20.7,4.14
housewares,5708,1162,20.4,4.19
christmas_supplies,123,25,20.3,4.11
garden_tools,3428,694,20.2,4.18
home_appliances_2,226,45,19.9,4.15
agro_industry_and_commerce,177,35,19.8,4.11
home_appliances,744,145,19.5,4.21
tablets_printing_image,77,15,19.5,4.16
cool_stuff,3530,681,19.3,4.22
industry_commerce_and_business,229,44,19.2,4.22
health_beauty,8601,1650,19.2,4.23
toys,3772,716,19.0,4.24
fashion_shoes,231,44,19.0,4.26
photography_and_video_equipment,63,12,19.0,4.33
sports_leisure,7485,1400,18.7,4.23
perfumery,3076,571,18.6,4.26
fashion_bags_accessories,1811,335,18.5,4.24
musical_instruments,605,110,18.2,4.23
pet_shop,1680,299,17.8,4.27
drinks,287,50,17.4,4.24
construction_tools_garden,190,33,17.4,4.25
small_appliances,604,104,17.2,4.25
computers,174,30,17.2,4.22
furniture_bedroom,90,15,16.7,4.26
la_cuisine,12,2,16.7,4.25
stationery,2251,374,16.6,4.29
dvds_blu_ray,56,9,16.1,4.20
fashion_sport,26,4,15.4,4.38
food,437,66,15.1,4.33
luggage_accessories,1015,152,15.0,4.37
food_drink,221,33,14.9,4.44
flowers,28,4,14.3,4.39
books_imported,50,7,14.0,4.44
books_technical,255,33,12.9,4.43
small_appliances_home_oven_and_coffee,72,9,12.5,4.43
books_general_interest,491,48,9.8,4.53
construction_tools_tools,94,9,9.6,4.43
cds_dvds_music,12,1,8.3,4.67
