"seller_id","order_count","bad_reviews","bad_review_pct","avg_review_score"
"1ca7077d890b907f89be8c954a02686a",107,75,70.1,2.39
"2eb70248d66e0e3ef83659f71b244378",184,113,61.4,2.79
"972d0f9cf61b499a4812cf0bfa3ad3c4",79,43,54.4,3.03
a49928bcdf77c55c6d6e05e09a9b4ca5,96,50,52.1,3.03
"5058e8c1e82653974541e83690655b4a",61,31,50.8,3.25
f76a3b1349b6df1ee875d1f3fa4340f0,24,12,50.0,3.46
"602044f2c16190c2c6e45eb35c2e21cb",47,23,48.9,3.23
"54965bbe3e4f07ae045b90b0b8541f52",69,33,47.8,3.14
d71d863e5ef30d94e440c11be17dcd8f,21,10,47.6,3.33
"2a1348e9addc1af5aaa619b1a3679d6b",47,22,46.8,3.17
bbad7e518d7af88a0897397ffdca1979,67,31,46.3,3.18
"712e6ed8aa4aa1fa65dab41fed5737e4",76,35,46.1,3.39
a7f13822ceb966b076af67121f87b063,72,33,45.8,3.40
"835f0f7810c76831d6c7d24c7a646d4d",42,19,45.2,3.36
"054694fa03fe82cec4b7551487331d74",20,9,45.0,3.40
"0b35c634521043bf4b47e21547b99ab5",49,22,44.9,3.41
"070d165398b553f3b4b851c216b8a358",30,13,43.3,3.37
af4a0e4cfe1d9c26b6712b1be25a72e5,21,9,42.9,3.43
dc8798cbf453b7e0f98745e396cc5616,35,15,42.9,3.37
"850913d59ce317156b00f3705f1c3edb",29,12,41.4,3.59
"8444e55c1f13cd5c179851e5ca5ebd00",92,38,41.3,3.37
b2479f944e1b90cf8a5de1bbfde284d6,100,41,41.0,3.47
c60b801f2d52c7f7f91de00870882a75,39,16,41.0,3.44
ea67327e24487bdfac5fbfa37ea124df,32,13,40.6,3.53
"7c67e1448b00f6e969d365cea6b010ab",967,391,40.4,3.49
"88460e8ebdecbfecb5f9601833981930",245,99,40.4,3.42
"1dfe5347016252a7884b694d4f10f5c4",20,8,40.0,3.40
"710e3548e02bc1d2831dfc4f1b5b14d4",130,52,40.0,3.43
e21a1e8be4715b0fcfd5385643bc49c4,20,8,40.0,3.70
ad781527c93d00d89a11eecd9dcad7c1,38,15,39.5,3.34
"5b179e9e8cc7ab6fd113a46ca584da81",33,13,39.4,3.67
"6fd52c528dcb38be2eea044946b811f8",66,26,39.4,3.39
"157c3e4b42f81ac4a44e8b1ca2fe9876",23,9,39.1,3.70
"99002261c568a84cce14d43fcffb43ea",36,14,38.9,3.72
aae3bfea055532c57fb453ed3ec80b30,47,18,38.3,3.60
"4e5725ba188db8252977a4f0227bd462",21,8,38.1,3.52
"6039e27294dc75811c0d8a39069f52c0",63,24,38.1,3.73
"8e6d7754bc7e0f22c96d255ebda59eba",84,32,38.1,3.60
bc47d5d1490df2b36add65d733eafaba,21,8,38.1,3.52
"1ce3ae5a399804d1a87e706f8a813c3e",40,15,37.5,3.75
"6973a06f484aacf400ece213dbf3d946",88,33,37.5,3.72
e89c4adbe7b1d0819dbb636e16461cf1,24,9,37.5,3.83
"99a54764c341d5dc80b4a8fac4eba3fb",43,16,37.2,3.67
bf84056e679dbe9c69929847a40e338f,35,13,37.1,3.77
dd55f1bb788714a40e7954c3be6df745,35,13,37.1,3.74
cac4c8e7b1ca6252d8f20b2fc1a2e4af,73,27,37.0,3.56
"3c7c4a49ec3c6550809089c6a2ca9370",139,51,36.7,3.69
"2b1a40c1daabc6ca280c4b815c101841",22,8,36.4,3.82
d3f39f05462b79a4562d35893a28f159,33,12,36.4,3.61
fb89df7f89fd1b8f03fa2acca1ba7364,22,8,36.4,3.86
"18a349e75d307f4b4cc646a691ed4216",108,39,36.1,3.60
"3b872fd4747f01cc56206f2934198618",25,9,36.0,3.88
b39d7fe263ef469605dbb32608aee0af,42,15,35.7,3.93
"44073f8b7e41514de3b7815dd0237f4f",141,50,35.5,3.74
ed4acab38528488b65a9a9c603ff024a,31,11,35.5,3.81
d2374cbcbb3ca4ab1086534108cc3ab7,509,179,35.2,3.76
"1835b56ce799e6a4dc4eddc053f04066",414,145,35.0,3.66
"7040e82f899a04d1b434b795a43b4617",206,72,35.0,3.65
"7f152321c60a266edc53af1925ef96c1",20,7,35.0,3.80
ff69aa92bb6b1bf9b8b7a51c2ed9cf8b,20,7,35.0,3.65
cd06602b43d8800bd0afad514919d35c,43,15,34.9,3.74
"244c2f1bff6afe1f2eaf9bfe9b2aed38",23,8,34.8,3.65
"821fb029fc6e495ca4f08a35d51e53a5",23,8,34.8,3.48
"977f9f63dd360c2a32ece2f93ad6d306",23,8,34.8,3.87
e0878efa0e0b7e5313ac0b43bc04c081,26,9,34.6,3.62
e06f09ec0a4aca210779cf1cfc63cf19,29,10,34.5,3.93
"0bf0150d5b9d60d9cd2906003332f085",38,13,34.2,3.79
"82e0a475a88cc9595229d8029273f045",41,14,34.1,3.56
d20b021d3efdf267a402c402a48ea64b,85,29,34.1,3.75
"95f83f51203c626648c875dd41874c7f",50,17,34.0,3.70
ea566164622c6b439516ab18062c42cd,50,17,34.0,3.78
"17306570e772e7718c92a562d33f5f1d",27,9,33.3,3.78
"229c3efbfb0ea2058de4ccdfbc3d784a",117,39,33.3,3.62
"66dc1b1632bd6a3e508510c5b3492107",36,12,33.3,3.64
b14db04aa7881970e83ffa9426897925,75,25,33.3,3.77
cee48807215b30a12ca2ca10ffb5f250,39,13,33.3,3.77
e99e927c81e3f51739c94fcdfca9f10f,21,7,33.3,3.71
ede0c03645598cdfc63ca8237acbe73d,42,14,33.3,3.57
"897060da8b9a21f655304d50fd935913",301,99,32.9,3.71
dd2bdf855a9172734fbc3744021ae9b9,101,33,32.7,3.86
"70a12e78e608ac31179aea7f8422044b",310,101,32.6,3.81
ef990a83bbea832f36ebe81376335aa8,43,14,32.6,3.63
f46490624488d3ff7ce78613913a7711,80,26,32.5,3.76
"0cbcee27c791afa0cdcb08587a2013a8",37,12,32.4,4.00
"36a968b544695394e4e9d7572688598f",148,48,32.4,3.75
"2745f798279e0ed033addcc1474776d7",31,10,32.3,3.97
f12ff17ad8bbf01ec5c33b17e506649b,28,9,32.1,3.86
"002100f778ceb8431b7a1020ff7ab48f",50,16,32.0,3.96
"09f952a5f58d2285b0372551ae8f9b01",50,16,32.0,3.84
"3481aa57cd91f9f9d3fa1fa12d9a3bf7",25,8,32.0,3.88
edf96ef93ed595084bbcbd9224bd2894,25,8,32.0,3.88
"5343d0649eca2a983820bfe93fc4d17e",69,22,31.9,3.87
"55f7a3319d80f7fdf078b8f03e6725fe",22,7,31.8,3.77
"7f2617c58d5d06806987308b45654351",22,7,31.8,3.82
eed78ac17f7f795a19a709745f00cd4e,22,7,31.8,3.77
"4a3ca9315b744ce9f8e9374361493884",1753,550,31.4,3.85
"71039d19d4303bf9054d69e9a9236699",35,11,31.4,3.80
b1fc4f64df5a0e8b6913ab38803c57a9,105,33,31.4,3.86
e8f6dc8e6a1dcde89d20e3995c8d90b3,35,11,31.4,4.00
"7ad32824caee82087b3e2e5f33b1bf32",144,45,31.3,3.86
"1900267e848ceeba8fa32d80c1a5f5a8",399,124,31.1,3.86
dc4a0fc896dc34b0d5bfec8438291c80,225,70,31.1,3.81
"2a6fbeaa7ab9e5d59a35841a8da71ce4",29,9,31.0,3.93
"2d50d6282f8aa2257819a77bfaa0efe0",42,13,31.0,3.81
"23613d49c3ac2bd302259e55c06c050c",68,21,30.9,3.87
"3771c85bac139d2344864ede5d9341e3",26,8,30.8,3.85
"440dd6ab244315c632130ecfb63827b1",91,28,30.8,3.89
b8555308bfdb4ca1ed54325a58da9a97,26,8,30.8,4.00
df560393f3a51e74553ab94004ba5c87,26,8,30.8,3.88
"855668e0971d4dfd7bef1b6a4133b41b",296,91,30.7,3.85
"751bdc4d83a466c7206cd42e8f426b03",49,15,30.6,3.94
"23a0ffca143a15b9b5bbdb7d552f626a",23,7,30.4,3.91
"4992e76a42cb3aad7a7047e0d3d7e729",56,17,30.4,3.96
"25c5c91f63607446a97b143d2d535d31",155,47,30.3,3.82
c31eff8334d6b3047ed34bebd4d62c36,119,36,30.3,3.87
f3da5b2ff499efb8d4a6d371d175d7dd,76,23,30.3,3.89
cca3071e3e9bb7d12640c9fbe2301306,688,208,30.2,3.88
d1c281d3ae149232351cd8c8cc885f0d,212,64,30.2,3.80
"9e6229250fedbe05838fef417b74e7fb",73,22,30.1,3.89
b17b679f4f5ce2e03ce6968c62648246,50,15,30.0,3.98
"213b25e6f54661939f11710a6fddb871",151,45,29.8,3.81
c33847515fa6305ce6feb1e818569f13,114,34,29.8,3.85
"431af27f296bc6519d890aa5a05fdb11",115,34,29.6,3.80
"5b67882648febfb6e1225e6ad7164f6b",27,8,29.6,4.00
"8a32e327fe2c1b3511609d81aaf9f042",125,37,29.6,3.94
d97df38225e5abadaff1e72cb72b823c,27,8,29.6,3.93
"903037660cf848a717166eb7a06d616e",44,13,29.5,3.95
f84a00e60c73a49e7e851c9bdca3a5bb,88,26,29.5,3.90
"318f287a62ab7ac10b703ac37435a231",51,15,29.4,3.92
"609e1a9a6c2539919b8205cf7c4e6ff0",85,25,29.4,3.81
ef506c96320abeedfb894c34db06f478,314,92,29.3,3.96
"23d7c96d4a1160db1c726b248601b25a",48,14,29.2,3.92
"3c4e0452bff7a2a788179488d3d77032",31,9,29.0,3.84
"5d3bb11474a06bdc23fb9e89f1164ee0",31,9,29.0,3.90
db2956745b3a8e9f3785c99f34b5d25e,45,13,28.9,3.84
"95e03ca3d4146e4011985981aeb959b9",170,49,28.8,4.02
"2528513dd95219a6013d4d05176e391a",157,45,28.7,3.97
"238fac594e170b59c6d228f5a4f4f1d9",28,8,28.6,4.00
"3fd1e727ba94cfe122d165e176ce7967",35,10,28.6,3.94
"4c18691b6037662be2df78a765d98ab5",63,18,28.6,3.87
"7139dc5186aa238b006e066d8fbab2e4",21,6,28.6,4.00
"94e93ce877be27a515118dbfd2c2be41",28,8,28.6,4.04
af3ef48d0e13835e529c29ac573c63e5,21,6,28.6,3.76
d379f449f2a3b271bc01c0782020f705,28,8,28.6,3.89
"5f2684dab12e59f83bef73ae57724e45",67,19,28.4,3.79
f457c46070d02cadd8a68551231220dd,194,55,28.4,3.87
f7ccf836d21b2fb1de37564105216cc1,67,19,28.4,3.85
dd7ddc04e1b6c2c614352b383efe2d36,120,34,28.3,3.88
"1d8dbc4f32378d715c717c1c1fc57bae",89,25,28.1,4.06
"4a3ccda38b2129705f3fb522db62ca31",64,18,28.1,3.92
"5656537e588803a555b8eb41f07a944b",171,48,28.1,3.89
beadbee30901a7f61d031b6b686095ad,64,18,28.1,3.91
d5ba419e26d246a0719437cf37d9b46d,32,9,28.1,4.00
"198c7ea11960a9844b544d9bcdca860c",25,7,28.0,3.88
"2138ccb85b11a4ec1e37afbd1c8eda1f",387,108,27.9,3.96
e9d99831abad74458942f21e16f33f92,129,36,27.9,3.93
"3c03b12bab54d8b37d79d914bfdb1aa0",36,10,27.8,3.83
"522620dcb18a6b31cd7bdf73665113a9",169,47,27.8,3.91
"63b464dbf392c7b80d12d932fa7cafed",36,10,27.8,3.86
e2aee0892199b1d92530e371abd825bf,36,10,27.8,3.89
f4aba7c0bca51484c30ab7bdc34bcdd1,108,30,27.8,3.94
f45122a9ab94eb4f3f8953578bc0c560,184,51,27.7,3.97
"11bfa66332777660bd0640ee84d47006",76,21,27.6,3.87
"4ebdc7e6cd6102a022dadc49156d4ea8",29,8,27.6,3.79
"3be634553519fb6536a03e1358e9fdc7",80,22,27.5,4.00
"688756f717c462a206ad854c5027a64a",80,22,27.5,3.89
b56906f7fd1696e043f1bcce164c487b,40,11,27.5,4.00
"701938c450705b8ae65fc923b70f35c7",73,20,27.4,4.00
"681fce914360217db47784ae28905a96",22,6,27.3,4.00
"8cbac7e12637ed9cffa18c7875207478",66,18,27.3,4.17
cc63f0dd2acba93ffed4fe9f8e0321fa,55,15,27.3,4.09
d93919c944be9cff128f6c9cb899eacb,33,9,27.3,4.00
"6d66611d7c44cc30ce351abc49a68421",162,44,27.2,3.97
abe42c5d03695b4257b5c6cbf4e6784e,48,13,27.1,3.96
"45d33f715e24d15a6ccf5c17b3a23e3c",56,15,26.8,4.14
"6560211a19b47992c3666cc44a7e94c0",1804,484,26.8,3.98
fffd5413c0700ac820c7069d66d98c89,56,15,26.8,3.89
"66e0557ecc2b4dbea057e93f215f68d8",30,8,26.7,4.03
"870d0118f7a9d85960f29ad89d5d989a",45,12,26.7,4.04
b335c59ab742f751a85db9c411a86739,30,8,26.7,4.03
f00e21b1e91a79653163b7fd8f293ff1,30,8,26.7,4.10
d673a59aac7a70d8b01e6902bf090a11,79,21,26.6,3.91
"138dbe45fc62f1e244378131a6801526",49,13,26.5,4.08
"50c9975695009e5e6473912e83a6d1da",49,13,26.5,3.94
"822166ed1e47908f7cfb49946d03c726",68,18,26.5,3.99
